No;NAMA PERUSAHAAN;NEGARA; ALAMAT;STATUS KERJASAMA
1; PT Plasess Indonesia; Indonesia;  Kawasan Industri Surya Cipta Jl. Surya Kencana Kav.I M-1A, Kutamekar, Kec. Ciampel, Karawang, Jawa Barat 41361 ;       Kontrak Service AC
2; PT Meira Manufacturing; Indonesia;  Jl. Mitra Raya II No.5-6 Blok F, Parungmulya, Kec. Ciampel, Karawang, Jawa Barat 41363 ; Kontrak Service AC
3; PT Indonesia Thai Summit Auto; Indonesia;  Jl. International Industrial City KIIC, Sirnabaya, Jl. Permata Raya Lot. FF 5, Sirnabaya, Telukjambe Timur, Karawang, Jawa Barat 41361 ;Kontrak Service AC
4; PT Indonesia Thai Summit Plastech; Indonesia;  Jl. Sukamukti, Kec. Bojongmangu, Kabupaten Bekasi, Jawa Barat 17350 ;Kontrak Service AC
5; PT Thai summit harness Indonesia; Indonesia;  Jl. Sirnabaya, Telukjambe Timur, Karawang, Jawa Barat 41361 ;Kontrak Service AC
6; PT Art Mold Indonesia; Indonesia;  Jl. Kawasan Industri Jababeka 2 Jalan Industri Selatan Blok KK-4/5, Pasir Sari, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17520 ;Kontrak Service AC
7; PT YQ Tek Indonesia; Indonesia;  Jl. Jababeka III Kawasan Industri Jababeka I No.19M, Pasirgombong, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
8; PT CIKOS INDONESIA; Indonesia;  Jl. Industri Sel. V, Pasirsari, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
9; PTAiko Tekindo Sakti; Indonesia;  Jl. Industri Selatan I, Kawasan Industri Jababeka Tahap II Blok PP/2-F Kel. Pasirsari, Kec. Cikarang Selatan Kabupaten Bekasi, Jawa Barat, 17530 Indonesia  ;Kontrak Service AC
10; PT Busan Laser Indonesia; Indonesia;  Cicau, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
11; PT Himalaya abadi cikarang factory; Indonesia;  Jalan Kayu Manis 1 Blok F10-03i Delta Silicon 3 Ext, Lippo, Serang, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
12; Modern Plastic Industry. PT; Indonesia;  Kawasan Industri Delta Silicone II, Jl. Beringin No.12/1-A Blok F, Cibatu, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17550 ;Kontrak Service AC
13; PT Hasta Putra Perkasa ; Indonesia;  Jl. Jababeka IIG No.25, Pasirgombong, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
14; PTAsia Grand International; Indonesia;  Rotan No.23A, Cicau, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
15; PT Titian anugrah agung  ; Indonesia;  Jl. Palem II, Blok. DS-9, Cikarang, Lippo City Industrial Estate, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
16; PT Kafahtex abadi; Indonesia;  Jl. Karet 3 No.16, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
17; PT CKPM PLANT 2; Indonesia;  Jl. Palem 2, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
18; PT WANG SARIMULTI UTAMA  ; Indonesia;  Boston Techno Village, Lippo City Development, Blok DS-12A, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
19; PT UNIFLEX PLANT 2; Indonesia;  RW25+M8H, RW.11, Kawasan industri, Jatinegara, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930 ;Kontrak Service AC
20; PT Uniflex Kemasindah; Indonesia;  Lippo Cikarang, Blok C1, BIIE, Jl. Inti I No. 5 ;Kontrak Service AC
21; PT Nippo Mechatronics Indonesia; Indonesia;  Jl. Inti II Blok C4 No.6-7, Sukaresmi, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
22; PT Yamani Spring Indonesia; Indonesia;  EJIP Industrial Park Plot 8C/A1-A2, Jl. Ciujung No.Desa, Sukaresmi, Cikarang Selatan, Bekasi Regency, West Java 17550 ;Kontrak Service AC
23; PT Komoda Indonesia; Indonesia;  Kawasan Industri EJIP 8L No.2, Jl. Citanduy 6, Sukaresmi, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17550 ;Kontrak Service AC
24; PT NBC Indonesia; Indonesia;  Jl. Maligi I Lot A9-10 Kawasan Industri KIIC, Sukaluyu, Telukjambe Timur, Karawang, Jawa Barat 41361 ;Kontrak Service AC
25; PT KOJIMA AUTO TECHNOLOGY INDONESIA; Indonesia;  Blok G6 No.6, Jl. Ramin 1, Sukamahi, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17550 ;Kontrak Service AC
26;	PT Amtekindo Teknologi Fabrikasi; Indonesia;  Blok G-6 No, Kawasan Industri Delta Silicon VI, Cicau, Jl. Ramin Raya No.15G, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530 ;Kontrak Service AC
